Voter ID,County,Candidate
1861354,Matterdawn,Vestal
1559018,Harsaw,Torres
1741234,Mershville,Vestal
1300030,Mershville,Vestal
1578808,Mershville,Vestal
1507643,Harsaw,Vestal
1529957,Harsaw,Seth
1200593,Porpus,Vestal
1529078,Harsaw,Torres
1227803,Harsaw,Torres
1912996,Matterdawn,Vestal
1070206,Arrent,Vestal
1047849,Harsaw,Vestal
1701479,Harsaw,Vestal
1346301,Harsaw,Vestal
1929664,Mershville,Torres
1579022,Porpus,Torres
1328814,Porpus,Vestal
1223878,Mershville,Vestal
1870396,Mershville,Vestal
1502493,Matterdawn,Vestal
1000386,Matterdawn,Vestal
1981755,Harsaw,Vestal
1075329,Matterdawn,Cordin
1624209,Harsaw,Vestal
1501174,Mershville,Torres
1497701,Harsaw,Torres
1658988,Harsaw,Vestal
1644008,Harsaw,Vestal
1291798,Harsaw,Vestal
1043407,Matterdawn,Torres
1389753,Arrent,Vestal
1686078,Porpus,Torres
1486492,Mershville,Torres
1961187,Harsaw,Vestal
1439190,Mershville,Torres
1444772,Matterdawn,Vestal
1183303,Matterdawn,Vestal
1326423,Harsaw,Torres
1773422,Porpus,Vestal
1081325,Harsaw,Vestal
1897033,Porpus,Vestal
1983829,Harsaw,Vestal
1518575,Matterdawn,Torres
1461293,Matterdawn,Torres
1619023,Harsaw,Torres
1808047,Matterdawn,Vestal
1635633,Harsaw,Torres
1719341,Matterdawn,Torres
1747979,Harsaw,Torres
1877949,Matterdawn,Torres
1602013,Matterdawn,Torres
1128050,Harsaw,Torres
1414543,Harsaw,Torres
1127601,Mershville,Torres
1183415,Arrent,Torres
1824211,Harsaw,Vestal
1982564,Harsaw,Torres
1370064,Mershville,Torres
1944494,Harsaw,Vestal
1093129,Harsaw,Vestal
1283293,Mershville,Torres
1589665,Mershville,Vestal
1543600,Harsaw,Torres
1325203,Mershville,Vestal
1920893,Harsaw,Torres
1582091,Matterdawn,Vestal
1437970,Harsaw,Torres
1338977,Mershville,Vestal
1078051,Harsaw,Vestal
1356600,Mershville,Vestal
1161832,Mershville,Torres
1099541,Harsaw,Vestal
1605635,Matterdawn,Vestal
1974765,Harsaw,Vestal
1709413,Harsaw,Torres
1787604,Arrent,Torres
1414081,Mershville,Torres
1215561,Mershville,Vestal
1012876,Harsaw,Torres
1884056,Porpus,Torres
1680136,Harsaw,Vestal
1137351,Matterdawn,Vestal
1898420,Mershville,Vestal
1583763,Harsaw,Vestal
1036421,Harsaw,Torres
1598079,Harsaw,Torres
1762895,Porpus,Torres
1630800,Matterdawn,Vestal
1598566,Harsaw,Seth
1588479,Mershville,Seth
1473664,Porpus,Vestal
1176517,Harsaw,Vestal
1810413,Matterdawn,Torres
1759324,Matterdawn,Vestal
1687561,Harsaw,Torres
1766186,Matterdawn,Vestal
1423800,Mershville,Torres
1318320,Harsaw,Torres
1849116,Matterdawn,Torres
1352281,Harsaw,Vestal
1034903,Mershville,Vestal
1795752,Mershville,Torres
1404340,Harsaw,Vestal
1078351,Harsaw,Torres
1801181,Arrent,Vestal
1422289,Mershville,Seth
1090684,Porpus,Vestal
1203452,Porpus,Torres
1335144,Matterdawn,Torres
1354517,Harsaw,Torres
1158579,Matterdawn,Seth
1460021,Harsaw,Torres
1939040,Matterdawn,Torres
1077592,Harsaw,Vestal
1455515,Harsaw,Torres
1402575,Matterdawn,Torres
1592125,Harsaw,Torres
1801902,Harsaw,Seth
1454594,Porpus,Torres
1204100,Harsaw,Torres
1673216,Arrent,Vestal
1210718,Harsaw,Vestal
1224723,Harsaw,Torres
1854708,Harsaw,Torres
1114014,Matterdawn,Torres
1315322,Matterdawn,Torres
1892118,Harsaw,Seth
1400247,Porpus,Vestal
1343247,Harsaw,Torres
1688116,Mershville,Vestal
1994633,Harsaw,Torres
1405505,Harsaw,Vestal
1438925,Mershville,Torres
1692135,Matterdawn,Torres
1959278,Harsaw,Torres
1574186,Matterdawn,Vestal
1276321,Matterdawn,Vestal
1940214,Harsaw,Torres
1753429,Harsaw,Torres
1200842,Mershville,Vestal
1892170,Mershville,Cordin
1874212,Mershville,Vestal
1033849,Matterdawn,Vestal
1142648,Mershville,Torres
1233679,Harsaw,Vestal
1290615,Matterdawn,Torres
1731384,Mershville,Torres
1635141,Harsaw,Vestal
1048664,Mershville,Torres
1427925,Harsaw,Vestal
1418263,Harsaw,Vestal
1031460,Mershville,Vestal
1994017,Harsaw,Torres
1450115,Harsaw,Torres
1179084,Matterdawn,Vestal
1547190,Mershville,Vestal
1341712,Harsaw,Torres
1790320,Porpus,Vestal
1932075,Arrent,Vestal
1593926,Mershville,Vestal
1135605,Mershville,Vestal
1358798,Mershville,Vestal
1450796,Harsaw,Vestal
1807103,Matterdawn,Vestal
1376018,Harsaw,Torres
1506661,Matterdawn,Vestal
1438512,Mershville,Torres
1042253,Matterdawn,Torres
1786865,Matterdawn,Seth
1868539,Harsaw,Torres
1477159,Matterdawn,Torres
1243411,Mershville,Torres
1144358,Matterdawn,Torres
1247356,Harsaw,Vestal
1360145,Harsaw,Torres
1462686,Matterdawn,Vestal
1125767,Matterdawn,Torres
1662522,Harsaw,Torres
1736201,Harsaw,Vestal
1650308,Harsaw,Torres
1052076,Matterdawn,Vestal
1745218,Harsaw,Torres
1499874,Matterdawn,Torres
1997528,Harsaw,Vestal
1297140,Matterdawn,Torres
1359513,Harsaw,Torres
1943092,Matterdawn,Vestal
1399797,Porpus,Vestal
1905875,Porpus,Vestal
1679413,Matterdawn,Cordin
1536869,Matterdawn,Torres
1374765,Harsaw,Torres
1854241,Matterdawn,Torres
1588007,Mershville,Vestal
1276752,Harsaw,Torres
1833362,Porpus,Torres
1477799,Porpus,Torres
1445083,Harsaw,Vestal
1060471,Matterdawn,Torres
1609383,Mershville,Vestal
1831773,Matterdawn,Vestal
1431355,Harsaw,Vestal
1023672,Harsaw,Vestal
1426469,Matterdawn,Vestal
1797451,Harsaw,Vestal
1608208,Matterdawn,Vestal
1276559,Harsaw,Vestal
1402605,Harsaw,Vestal
1409334,Mershville,Torres
1905426,Porpus,Vestal
1626458,Porpus,Torres
1497579,Matterdawn,Cordin
1479807,Harsaw,Torres
1740991,Harsaw,Torres
1595953,Matterdawn,Torres
1440647,Porpus,Torres
1382682,Mershville,Seth
1444054,Matterdawn,Vestal
1052890,Harsaw,Torres
1033969,Harsaw,Torres
1496498,Harsaw,Torres
1953844,Matterdawn,Torres
1486007,Mershville,Torres
1011481,Matterdawn,Vestal
1241775,Mershville,Torres
1780483,Harsaw,Vestal
1514457,Matterdawn,Torres
1811266,Harsaw,Vestal
1459263,Mershville,Vestal
1600903,Harsaw,Torres
1043878,Harsaw,Torres
1797946,Matterdawn,Vestal
1436331,Mershville,Vestal
1831280,Harsaw,Torres
1158519,Porpus,Vestal
1709780,Arrent,Torres
1539915,Harsaw,Torres
1776165,Matterdawn,Vestal
1565635,Arrent,Torres
1826325,Porpus,Torres
1245730,Harsaw,Vestal
1278572,Harsaw,Cordin
1994643,Matterdawn,Torres
1045120,Harsaw,Vestal
